Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_footprint_link,0.0311047953221113,-3.0746054127985E-06,0.163837596926644,0,0,0,93.7017907857414,2.05155668597246,-0.000190686516366702,-0.0661121479684109,7.87268899063513,2.91444870281003E-05,9.28547608261676,0,0,0,0,0,0,package://car_sample/meshes/base_footprint_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_sample/meshes/base_footprint_link.STL,,car_body-1,base_footprint_car,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_link,0.0311047953221113,-3.07460541279329E-06,0.0988375969266445,0,0,0,93.7017907857414,2.05155668597246,-0.000190686516366707,-0.0661121479684108,7.87268899063513,2.91444870281255E-05,9.28547608261676,0,0,0,0,0,0,package://car_sample/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_sample/meshes/base_link.STL,,car_body-1,base_link_car,,base_link_joint,fixed,0,0,0.065,0,0,0,base_footprint_link,0,0,0,,,,,,,,,,,,
potential_link,-0.429254748784664,-0.00335150189802721,-0.197173586404001,0,0,0,6.89001102509344,0.0468982581959443,-0.00452622726574964,0.000258875342996197,0.646005462114825,-1.08164098234481E-05,0.676451866172125,0,0,0,0,0,0,package://car_sample/meshes/potential_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_sample/meshes/potential_link.STL,,body_part1-1,potential_car,potential_,potential_link_joint,continuous,-0.63078,-0.0013586,0.35,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
L_link,0.00019519,-0.024999,2.2204E-16,0,0,0,6.789,0.073434,-0.00042251,-1.4684E-17,0.12754,-2.6995E-17,0.073431,0,0,0,0,0,0,package://car_sample/meshes/L_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car_sample/meshes/L_link.STL,,wheel-5,L_trailer,L_,L_joint,continuous,-0.42824,0.41367,-0.265,0,0,0,potential_link,0,1,0,,,,,,,,,,,,
R_link,-0.00019519,0.024999,1.1102E-16,0,0,0,6.789,0.073434,-0.00042251,6.2188E-19,0.12754,-3.8293E-17,0.073431,0,0,0,0,0,0,package://car_sample/meshes/R_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car_sample/meshes/R_link.STL,,wheel-6,R_trailer,R_,R_joint,continuous,-0.41921,-0.42029,-0.26521,0,0,0,potential_link,0,1,0,,,,,,,,,,,,
LF_link,5.55111512312578E-17,-0.0249999999999999,1.11022302462516E-16,0,0,0,6.78904509236314,0.0734309679871221,1.41390840403187E-20,1.32348898008415E-20,0.127548069927643,-2.49612899515053E-20,0.0734309679871221,0,0,0,0,0,0,package://car_sample/meshes/LF_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_sample/meshes/LF_link.STL,,wheel-2,LF_car,LF_,LF_joint,continuous,0.29328,0.3725,0.1,0,0,0,base_link,0,1,0,,,,,,,,,,,,
LR_link,1.11022302462516E-16,-0.025,2.22044604925031E-16,0,0,0,6.78904509236314,0.0734309679871221,-2.05141328700057E-19,-5.29916164366107E-18,0.127548069927643,7.2468785370554E-18,0.0734309679871221,0,0,0,0,0,0,package://car_sample/meshes/LR_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_sample/meshes/LR_link.STL,,wheel-1,LR_car,LR_,LR_joint,continuous,-0.20472,0.3725,0.1,0,0,0,base_link,0,1,0,,,,,,,,,,,,
RF_link,0,0.025,0,0,0,0,6.78904509236314,0.0734309679871221,1.46664827039991E-19,-1.19114008207636E-18,0.127548069927643,-8.89330655265835E-21,0.0734309679871221,0,0,0,0,0,0,package://car_sample/meshes/RF_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_sample/meshes/RF_link.STL,,wheel-3,RF_car,RF_,RF_joint,continuous,0.29328,-0.3725,0.1,0,0,0,base_link,0,1,0,,,,,,,,,,,,
RR_link,-1.94289029309402E-16,0.0249999999999999,2.22044604925031E-16,0,0,0,6.78904509236315,0.0734309679871222,2.29518052766348E-18,5.19024815104054E-18,0.127548069927643,-1.10751048560327E-17,0.0734309679871221,0,0,0,0,0,0,package://car_sample/meshes/RR_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_sample/meshes/RR_link.STL,,wheel-4,RR_car,RR_,RR_joint,continuous,-0.20472,-0.3725,0.1,0,0,0,base_link,0,1,0,,,,,,,,,,,,
sersor_link,-0.0131763958667367,-3.07460541276901E-06,-0.131162403073355,0,0,0,93.7017907857414,2.05155668597246,-0.000190686516366677,-0.0661121479684105,7.87268899063513,2.91444870280917E-05,9.28547608261676,0,0,0,0,0,0,package://car_sample/meshes/sersor_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_sample/meshes/sersor_link.STL,,car_body-1,sensor_car,,sensor_joint,fixed,0.044281,0,0.23,0,0,0,base_link,0,0,0,,,,,,,,,,,,
